p,rate,score,time_cost
0,100,77.39349183,0.00427
0.05,20.3,74.25288267,0.020211823
0.1,12.8,74.18027153,0.031582813
0.15,8.79,73.66415867,0.046031854
0.2,5.62,73.28962607,0.07111032
0.25,3.64,73.10279097,0.110821429
0.3,2.07,72.35585787,0.196864734
0.35,1.15,71.59992843,0.350486957
0.4,0.43,71.89443413,0.944604651
0.45,0.18,72.5738153,2.265388889
0.5,0.09,71.90851423,4.546
0.55,0.03,72.02325283,13.90833333
0.6,0.02,69.88251243,22.2455
0.65,0,INF,INF
0.7,0,INF,INF
0.75,0,INF,INF
0.8,0,INF,INF
0.85,0,INF,INF
0.9,0,INF,INF
0.95,0,INF,INF
